발주번호,SKU ID,SKU 이름,확정수량
133378766,71947627,오아 아이스 볼트 폴드 100단 냉각 휴대용 접이식 목걸이형 선풍기 포그밀크 OPFN-011FM,336
133378766,34318450,오아 라운드 무선 초강력 BLDC 모터 휴대용 충전식 저소음 캠핑 탁상형 선풍기 베이지 OFN-048BE,207
133378766,71173111,오아 아이스볼트 미스트 100단 냉각 미니 핸디 휴대용 선풍기 혼합색상 OPFN-012FM,158
133378766,23200603,오아 스퀘어 미니 탁상용 무선 휴대용 USB BLDC 선풍기 화이트,829
133378766,71156871,오아 아이스 넥밴드 냉각패드 선풍기 포그밀크 OMFN-005FM,31
133378766,34320929,오아 라운드 미니 탁상용 무선 휴대용 USB BLDC 선풍기 베이지,149
133378766,58716097,오아 아이스볼트맥스 휴대용 미니 급속 냉각 핸디 선풍기 베이지 OPFN-007BE,588
133378766,45573288,오아 턴에어Pro 미니 탁상용 무선 선풍기 서큘레이터 화이트 OFN-061WH,116
133378766,46191377,오아 슈퍼젯 핸디팬 미니 무선 휴대용 핸디 핸드 손 선풍기 USB 야외용 캠핑 초강력 손풍기 블랙 OFN-062BK,85
133378757,71291488,오아 베이직 5엽 날개 키높이 스탠드 선풍기 OSFN-001SC,1552
133378757,23200605,오아 스퀘어 미니 탁상용 무선 캠핑 휴대용 USB 선풍기 베이지,1645
133378757,35137369,오아 라운드 멀티팬 휴대용 미니 소형 문어발 탁상용 아기 유모차 선풍기,919
133378755,15004955,"오아 타프 실링팬 캠핑용 천장형 BLDC 무선 선풍기, OFN-037WH, 화이트",296
133378753,12029130,오아 메가에어 써큘레이터 스탠드 선풍기 리모컨 공기순환기,56
133371775,60530655,보아르 에어로센 이동식 에어컨 실외기 없는 이동형 미니 소형 작은 방 일체형 제습기 에어콘,33
133371775,70770186,오아 보이스팬 AI 음성인식 BLDC 8단 풍속 리모컨 스탠드 선풍기 OSFN-003FM,66
133371775,34464589,오아 라운드PRO 무선 스탠드 선풍기 써큘레이터 리모컨 공기순환기 베이지 OFN-045BE,49
133371771,72300747,오아 바디팬 맥스 휴대용 미니 목걸이 허리 선풍기 포그밀크 OMFN-006FM,27
133371771,34320928,오아 라운드 미니 탁상용 무선 휴대용 USB BLDC 선풍기 화이트,150
133371771,58610450,오아 에어링 무선 탁상용 미니 선풍기 USB 저소음 아이보리 OMFN-004IV,49
133371771,59924956,오아 컴팩트쿨 휴대용 미니 핸디 냉각 손 선풍기화이트 OPFN-010WH,49
133371771,25321996,"오아 넥쿨러 프로 BLDC 휴대용 넥밴드 목걸이 넥풍기 목 선풍기, 베이지, OFN-043BE",83
133371771,12481759,보아르 에이블나인 가정용 캠핑용 자동세척 급속 제빙기 블랙,20
133352911,73226632,오아 오마컬 봉고데기 36mm 웨이브 고데기 아이롱 헤어 볼륨 프리볼트 고대기 핑크 OSTR-010PK,1
133352911,73893263,보아르 이지 전기포트 M1 접이식 분유포트 휴대용 미니 여행용 프리볼트 온도조절 커피포트 VPEP-006IV,18
133352911,74550323,보아르 엘레어PRO 저소음 BLDC 무풍 2in1 날개없는 선풍기 VSFN-003WH,2
133269124,64001139,삼대오백 쉐이커 프리미엄 보틀 블랙 1개 1200ml,1200
133269124,42828892,뉴트리커먼 삼대오백 프리미엄 클래식 미니 쉐이커 보틀 화이트 1개 600ml,240
133269004,49170124,삼대오백 매시브 그립 헬스 리프팅 스트랩 손목보호대 오리지널 블랙 1세트 S,10
133269004,49170125,삼대오백 매시브 그립 헬스 리프팅 스트랩 손목보호대 오리지널 블랙 1세트 L,25
133269004,47220150,오아 듀얼 랜턴 걸이 캠핑 조명 접이식 스탠드 램프 랜턴 거치대 블랙 1개,10
133269004,49170127,삼대오백 매시브 그립 헬스 리프팅 스트랩 손목보호대 오리지널 블랙 1세트 M,32
133268988,41910661,삼대오백 마그네슘 리커버리 웜업크림 발열 마사지 핫크림 오리지널 1개 100ml,24
133268949,39751867,뉴트리커먼 삼대오백 티로신 BCAA 프로 아미노산 글루타민 대용량 헬스보충제 스위트워터멜론 500g 1개,24
133268949,71495764,삼대오백 크레아퓨어 크레아틴 츄어블 레몬맛 2g 90정 180g 1개,48
133268949,58204817,"삼대오백 퓨어 오프시즌 카보린 순수 탄수화물 곡물 1000g,1개",8
133268949,55274321,삼대오백 EAA original 크림소다 300g 1개,48
133268949,44320649,삼대오백 홍경천 추출물 스트레스 피로개선 15g 30정 1박스,72
133268949,37212522,뉴트리커먼 삼대오백 카페인27g 1박스 30정,100
133268949,65374721,삼대오백 EAA 아미노산 체리맛 300g 1개,60
133268704,35887474,삼대오백 쉐이커 보틀 800ml + 필박스 + 파우더깔때기 블랙 800ml,24
133268704,63884854,삼대오백 쉐이커 프리미엄 보틀 블루 1개 1200ml,50
133268704,63996689,삼대오백 쉐이커 프리미엄 보틀 화이트 1개 1200ml,100
