발주번호,SKU ID,SKU 이름,확정수량
137228162,15812678,보아르v에어43 공기청정기 필터 VET-063-APOWH,1
137228162,12143584,"보아르 휘겔리 공기청정기 완전필터 시리즈 스탠다드 프리미엄 펫팸 필터, 펫팸 필터 E0151",1
137228162,11192163,보아르 그린에어 공기청정기 교체용 필터,1
137228162,11192167,보아르 휘겔리 공기청정기 교체용 필터,2
137228162,11291291,보아르 모아M1000 필터,10
137228149,10816066,보아르 파인F2000 소형 원룸 욕실 옷장 미니 제습기 VO-DH004,30
137228149,12029130,오아 메가에어 써큘레이터 스탠드 선풍기 리모컨 공기순환기,9
137228149,15004955,"오아 타프 실링팬 캠핑용 천장형 BLDC 무선 선풍기, OFN-037WH, 화이트",99
137228149,15838517,보아르 모아 파워 제습기 16L 활성탄 필터 VO-ET026,4
137228132,11671481,"오아 클린이 소프트 자동 압력센서 음파 전동칫솔, 화이트",33
137228132,12775098,"BOX_오아 클린이 소프트 음파 전동칫솔 2세트, VO-OC001(화이트)",1
137228130,14299890,오아 다리360 안마기 다리 종아리 발목 발 마사지기,2
137228129,14218803,오아 클린이베어 어린이 음파 전동칫솔 핑크,4
137228127,73956459,오아 워터쉴드넥 스마트폰 4중잠금 방수팩 + 넥스트랩 포그밀크 1세트,31
137228116,71291488,오아 베이직 5엽 날개 키높이 스탠드 선풍기 OSFN-001SC,3378
137228115,4125377,오아 슬리머 마사지기 OA-MA900 (브라운),39
137228115,15414324,오아 아이콕 눈 안마기 무선 마사지기 기계 온열 찜질기,3
137228115,13195811,오아 듀얼 무릎 마사지기 V2 무선 온열 마사지 찜질 안마기OMS-008BE,1
137228106,14878740,보아르 워터스핀E1 무선 듀얼스핀 자동 물분사 물걸레 청소기,3
137228106,11511332,오아 아이로너 터보 핸디형 살균 스팀다리미 빠른예열 OA-DA001 화이트,6
137228106,12579597,보아르 스티머인젝터 핸디형 스팀다리미 VIR-002WH,2
137228087,72300747,오아 바디팬 맥스 휴대용 미니 목걸이 허리 선풍기 포그밀크 OMFN-006FM,10
137228087,73956460,오아 워터쉴드넥 스마트폰 4중잠금 방수팩 + 넥스트랩 어비스블랙 1세트,35
137228087,73956461,오아 워터쉴드넥 스마트폰 4중잠금 방수팩 + 넥스트랩 클라우디블루 1세트,16
137228087,19213859,오아 타워 대용량 자동습도조절 UV살균 초음파 16L 가습기,2
137228087,50723598,보아르 슈즈쏙 신발 건조기 휴대용 운동화 소독 살균 관리 냄새제거,96
137228087,52155415,오아 보풀리 보풀제거기 옷 니트 가디건 보풀 제거 화이트 OFBS-001WH,1
