"날짜","상품 카테고리","하위 카테고리","세부 카테고리","브랜드","센터","SKU ID","SKU 명","바코드","발주가능상태","발주가능상태_세부","입고수량","출고수량","현재재고수량","매입원가","발주대비 납품율","확정대비 납품율","회송율","회송사유","품절여부","세부카테고리 품절율"
"20260825","CE","AV","브라켓/스탠드","보아르","VF107","36606823","보아르 TV스탠드 와이드 이동식 이젤형 거치대 VET-005WH","8809822422821","발주가능","정상","0","0","3","77355","0","0","0","","NO","0.385"
"20260825","CE","Beauty Appliance","각질관리기기","오아","FC","59332927","오아 아쿠아 필링기 각질 제거기 OFLL-001WH 화이트 OFLL-001WH","8809822426409","발주가능","정상","0","0","1","20039","1","1","0","","NO","0.745"
"20260825","CE","Beauty Appliance","각질관리기기","오아","VF107","59332927","오아 아쿠아 필링기 각질 제거기 OFLL-001WH 화이트 OFLL-001WH","8809822426409","발주가능","정상","23","1","46","20039","1","1","0","","NO","0.745"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","12263163","오아 데일리 고데기 판 볼륨 앞머리 프리볼트 매직기","8809487307372","발주가능","정상","20","7","59","30333","0.625","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","12263163","오아 데일리 고데기 판 볼륨 앞머리 프리볼트 매직기","8809487307372","발주가능","정상","0","0","0","30333","0.625","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","13959023","오아 티타늄 웨이브 펌 프리볼트 물결 고데기","8809487307877","발주가능","정상","0","0","1","24242","0","0","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","13959023","오아 티타늄 웨이브 펌 프리볼트 물결 고데기","8809487307877","발주가능","정상","0","8","261","24242","0","0","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","15826960","오아 뷰티 빗 고데기 스트레이트 매직기","8809487309437","발주가능","정상","0","0","0","29115","1","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","15826960","오아 뷰티 빗 고데기 스트레이트 매직기","8809487309437","발주가능","정상","11","3","29","29115","1","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","27011098","오아 볼륨 컬링 티타늄 이지봉고데기 화이트 OHA-012WH","8809822421411","발주가능","정상","53","10","173","24242","0.631","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","27011098","오아 볼륨 컬링 티타늄 이지봉고데기 화이트 OHA-012WH","8809822421411","발주가능","정상","0","1","4","24242","0.631","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","37244806","오아 볼륨 컬링 티타늄 이지 봉고데기 핑크 OHA-012PK","8809822423118","발주가능","정상","0","0","0","24242","0.875","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","37244806","오아 볼륨 컬링 티타늄 이지 봉고데기 핑크 OHA-012PK","8809822423118","발주가능","정상","21","3","41","24242","0.875","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","38158208","오아 더벨벳 무선 고데기 미니 휴대용 뿌리볼륨 헤어 매직기","8809822422807","발주가능","정상","0","0","6","30333","0","0","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","38312169","오아 뿌리 볼륨 고데기 미니 앞머리 휴대용 뽕 매직기","8809822422906","발주가능","정상","0","2","2","21196","0.9492","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","38312169","오아 뿌리 볼륨 고데기 미니 앞머리 휴대용 뽕 매직기","8809822422906","발주가능","정상","355","13","529","21196","0.9492","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","38415503","오아 베이직 판 고데기 5단계 온도조절 헤어 매직기 OHA-023BE","8809822423415","발주가능","정상","0","1","36","21196","0","0","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","38415503","오아 베이직 판 고데기 5단계 온도조절 헤어 매직기 OHA-023BE","8809822423415","발주가능","정상","0","1","1","21196","0","0","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","38417806","오아 오토 자동 롤러 웨이브 펌 프리볼트 고데기","8809822423149","발주가능","정상","0","0","3","33378","1","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","38417806","오아 오토 자동 롤러 웨이브 펌 프리볼트 고데기","8809822423149","발주가능","정상","12","3","40","33378","1","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","50326931","오아 오토 고데기 자동 회전 봉 고대기 40mm 퍼플 OHA-034PU","8809822425044","발주가능","정상","177","11","336","32769","0.6629","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","50326931","오아 오토 고데기 자동 회전 봉 고대기 40mm 퍼플 OHA-034PU","8809822425044","발주가능","정상","0","0","3","32769","0.6629","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","51533853","오아 오토셋 웨이브 뿌리 볼륨 봉고데기 화이트 OHA-029BL","8809822424726","발주가능","정상","0","0","12","36424","0","0","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","51533853","오아 오토셋 웨이브 뿌리 볼륨 봉고데기 화이트 OHA-029BL","8809822424726","발주가능","정상","0","0","2","36424","0","0","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","56651667","오아 볼륨업 무선 빗 고데기 휴대용 미니 헤어 뿌리 고데기 화이트 OSTR-001WH","8809822425860","발주가능","정상","29","8","30","30333","0.7073","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","56651667","오아 볼륨업 무선 빗 고데기 휴대용 미니 헤어 뿌리 고데기 화이트 OSTR-001WH","8809822425860","발주가능","정상","0","0","23","30333","0.7073","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","VF107","60085614","오아 무선 뿌리 볼륨 휴대용 미니 헤어 고데기 5000  베이지 OSTR-005BE","8809822426737","발주가능","정상","54","4","56","24303","0.6","1","0","","NO","0.674"
"20260825","CE","Beauty Appliance","고데기/매직기","오아","FC","60085614","오아 무선 뿌리 볼륨 휴대용 미니 헤어 고데기 5000  베이지 OSTR-005BE","8809822426737","발주가능","정상","0","0","14","24303","0.6","1","0","","NO","0.674"
