발주번호,발주유형,발주현황,SKU ID,SKU 이름,SKU Barcode,물류센터,입고예정일,발주일,발주수량,확정수량,입고수량,매입유형,면세여부,생산연도,제조일자,유통(소비)기한,매입가,공급가,부가세,총발주 매입금,입고금액,Xdock
142675009,일반,거래처확인요청,74884452,보아르 모노 반자동 커피머신 20bar 에스프레소 라떼 홈카페 화이트 VCMK-003WH,8809822429462,오아 주식회사,2026-09-18,2026-09-17 11:24:19,3,3,0,직매입,N,,,,82110,74645,7465,246330,0,N
142675009,일반,거래처확인요청,13644995,보아르 혼요 미니 전기 밥솥 1.2L,8809487308416,오아 주식회사,2026-09-18,2026-09-17 11:24:19,2,2,0,직매입,N,,,,30016,27287,2729,60032,0,N
142675009,일반,거래처확인요청,46543317,보아르 다이닝 올 스텐 무선 전기포트 2L 대용량 보온 커피포트,8809822424894,오아 주식회사,2026-09-18,2026-09-17 11:24:19,2,2,0,직매입,N,,,,30016,27287,2729,60032,0,N
142675009,일반,거래처확인요청,52874174,오아 포그니 발 온열 찜질기 다크그레이 OMTM-001DG,8809822425518,오아 주식회사,2026-09-18,2026-09-17 11:24:19,5,5,0,직매입,N,,,,26666,24242,2424,133330,0,N
142675009,일반,거래처확인요청,69594684,보아르 모노 전동 커피 그라인더 무선 자동 원두분쇄기 VBLD-009WH,8809822428182,오아 주식회사,2026-09-18,2026-09-17 11:24:19,9,9,0,직매입,N,,,,22043,20039,2004,198387,0,N
142675009,일반,거래처확인요청,27056005,보아르 워시스핀C 무선 충전식 욕실 청소기 VCL-031WH,8809822421923,오아 주식회사,2026-09-18,2026-09-17 11:24:19,4,4,0,직매입,N,,,,16616,15105,1511,66464,0,N
142675009,일반,거래처확인요청,40640374,오아 전기 온열찜질기 OMS-028DG,8809822424085,오아 주식회사,2026-09-18,2026-09-17 11:24:19,3,3,0,직매입,N,,,,26666,24242,2424,79998,0,N
142675009,일반,거래처확인요청,4152606,오아 아이브릭 블루투스 스피커 OA-IBRICK 딥우드,8809487303275,오아 주식회사,2026-09-18,2026-09-17 11:24:19,192,192,0,직매입,N,,,,16616,15105,1511,3190272,0,N
142675009,일반,거래처확인요청,61760141,보아르 모노0.8L 스텐 316 분유 보온 온도조절 전기 주전자 VHEP-003WH,8809822426676,오아 주식회사,2026-09-18,2026-09-17 11:24:19,1,1,0,직매입,N,,,,30016,27287,2729,30016,0,N
142675009,일반,거래처확인요청,62379668,오아 스윙바스 좌우 회전 음파 전동 칫솔 화이트 1개 OORL-016WH,8809822426942,오아 주식회사,2026-09-18,2026-09-17 11:24:19,1,1,0,직매입,N,,,,23383,21257,2126,23383,0,N
142675009,일반,거래처확인요청,50153946,보아르 미니 여행용 트래블스티머 다리미 화이트 VIR-008WH,8809822425020,오아 주식회사,2026-09-18,2026-09-17 11:24:19,1,1,0,직매입,N,,,,20971,19065,1906,20971,0,N
142675009,일반,거래처확인요청,37034524,오아 스트레칭 마사지기 전신 목 어깨 허리 안마기 에어 안마 매트,8809822422814,오아 주식회사,2026-09-18,2026-09-17 11:24:19,1,1,0,직매입,N,,,,118590,107809,10781,118590,0,N
142675009,일반,거래처확인요청,34320928,오아 라운드 미니 탁상용 무선 휴대용 USB BLDC 선풍기 화이트,8809822422401,오아 주식회사,2026-09-18,2026-09-17 11:24:19,2,2,0,직매입,N,,,,16013,14557,1456,32026,0,N
142675009,일반,거래처확인요청,62498583,오아 큐브 멀티탭 PD35 고용량 4000W 콘센트 USB C타입 충전기 3구 멀티 어댑터 그린 1개,8809822427130,오아 주식회사,2026-09-18,2026-09-17 11:24:19,1,1,0,직매입,N,,,,22043,20039,2004,22043,0,N
142675009,일반,거래처확인요청,58040260,오아 냉온 진동 실리콘 클렌저 베이지 OCLS-001,8809822426201,오아 주식회사,2026-09-18,2026-09-17 11:24:19,2,2,0,직매입,N,,,,26666,24242,2424,53332,0,N
142675009,일반,거래처확인요청,35192489,오아 넥큐어 온열 저주파 EMS 초경량 목 마사지기 OMS-039WH,8809822422494,오아 주식회사,2026-09-18,2026-09-17 11:24:19,1,1,0,직매입,N,,,,26666,24242,2424,26666,0,N
